ID_PROYECTO;Comienzo de obra;Fin de obra;Nombre de obra;DescripciÛn;  Monto Total  ; Sector ;Avance Financiero;Avance Fisico;ID_ENTIDAD_EJECUTORA;Duracion Obra (Dias); Objetivo General;ID_TIPO_PROYECTO;Localidad;Provincia;Etapa
10012972;2013;2024;RP. AUBLP   (DISTRIBUIDOR ENSENADAEMPME.R.P.N 11);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 89.934.874.049 ; OBRAS VIALES ;41%;100%;DIRECCI”N NACIONAL DE VIALIDAD;3965;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;13;ENSENADA;Buenos Aires;En EjecuciÛn
10013801;2022;2024;R.N. N 7 AUTOPISTA LUJAN  JUNIN  RN. 0007   (SAN ANDRES DE GILES  JUNIN);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 58.116.390.126 ; OBRAS VIALES ;48%;95%;DIRECCI”N NACIONAL DE VIALIDAD;865;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;13;CARMEN DE ARECO;Buenos Aires;En EjecuciÛn
10011972;2010;2025;RN. VARIAS   (CAMINO DEL BUEN AYRE  TRAMO I);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 35.412.274.917 ; OBRAS VIALES ;42%;86%;DIRECCI”N NACIONAL DE VIALIDAD;5420;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;13;ITUZAING”;Buenos Aires;En EjecuciÛn
10014440;2023;2026;AUTOPISTA RN 3 CA—UELAS  AZUL  RN. 0003   (FIN VARIANTE S. M. DEL MONTE  ACC. GORCHS);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 33.143.551.066 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;1096;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;13;MONTE;Buenos Aires;En EjecuciÛn
10014439;2023;2025;AUTOPISTA RN 3 CA—UELAS  AZUL  RN. 0003   (INICIO VARIANTE (RP N 41)   FIN VARIANTE (A CALIFORNIA));AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 29.193.117.442 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;914;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;13;MONTE;Buenos Aires;En EjecuciÛn
10011989;2010;2023;RN. VARIAS   (CAMINO DEL BUEN AYRE  TRAMO II);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 28.748.239.231 ; OBRAS VIALES ;78%;96%;DIRECCI”N NACIONAL DE VIALIDAD;5023;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;13;LA MATANZA;Buenos Aires;En EjecuciÛn
10012164;2011;2020;REHABILITACI”N RN 0009  SFE  RN. 1V09   (ROSARIO  CARCARA—A);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 1.231.944.223 ; OBRAS VIALES ;41%;94%;DIRECCI”N NACIONAL DE VIALIDAD;3348;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;14;SAN LORENZO;Santa Fe;Finalizada
1003128463;2023;2023;RN N 3 E/ RP N 21 Y AU PTE. PER”N TRAMO 2 ‚Äì RN N3 E/ AZUL Y SUNCHALES  ZONA 4  FRENTE D  MAS III;FRENTE D - ZONA 4; $ 21.746.218.776 ; OBRAS VIALES ;10%;99%;DIRECCI”N NACIONAL DE GESTI”N DE INFRAESTRUCTURAS DEL TRANSPORTE;185;FRENTE D - ZONA 4;67;LA MATANZA;Buenos Aires;En EjecuciÛn
10012284;2011;2022;PAVIMENTACI”N RN 14 SAN VICENTE  IRIGOYEN  RN. 0014   (EMP. R.P. 20 (GRAMADO)  EMP. R.P. 17 (DOS HERMANAS));MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 2.397.947.583 ; OBRAS VIALES ;100%;98%;DIRECCI”N NACIONAL DE VIALIDAD;3944;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;16;SAN PEDRO;Misiones;Finalizada
10012386;2011;2023;RN. 0018   (A SANDOVAL  RUTA NAC. N 14);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 3.731.767.097 ; OBRAS VIALES ;91%;13%;DIRECCI”N NACIONAL DE VIALIDAD;4432;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;11;CONCORDIA;Entre RÌos;Finalizada
10012459;2011;2024;RN. 0018   (INT. R.N.N12  COLECTORAS PAV. PROG. 67+750);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 18.299.710.410 ; OBRAS VIALES ;4%;60%;DIRECCI”N NACIONAL DE VIALIDAD;4752;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;13;PARAN¡;Entre RÌos;En EjecuciÛn
10012461;2011;2023;AUTOPISTA  RN. 0018   (COLECTORAS PAVIMENTADAS (PROG. 67+750)  INTERSECCION CON R.P. N20 (PROG. 135+600));AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 17.015.651.594 ; OBRAS VIALES ;26%;98%;DIRECCI”N NACIONAL DE VIALIDAD;4440;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;13;PARAN¡;Entre RÌos;En EjecuciÛn
